borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Driver Inattention/Distraction,Unspecified,,,,LONG ISLAND EXPRESSWAY,2016-11-14T22:00:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN QUEENS EXPRESSWAY      ,3570319,Sedan,Sedan,,,,
,Other Vehicular,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,2016-11-07T09:00:00,,,,0,0,0,0,0,0,0,0,,BELT PARKWAY                    ,3556788,Sedan,Sedan,Sedan,,,
,Unspecified,Unspecified,,,,PELHAM PARKWAY SOUTH,2016-10-27T16:00:00,,,,0,0,0,0,0,0,0,0,,EASTCHESTER ROAD                ,3549185,Station Wagon/Sport Utility Vehicle,Bus,,,,
,Unsafe Lane Changing,Unspecified,,,,,2016-09-11T05:00:00,,,,0,0,1,0,0,0,1,0,,BRONX RIVER PARKWAY             ,3516963,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2016-09-12T14:20:00,,,,0,0,0,0,0,0,0,0,,CROSS BRONX EXPY                ,3518512,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Traffic Control Disregarded,Other Vehicular,,,,QUEENS MIDTOWN TUNNEL ENTRANCE,2016-08-25T13:30:00,,,,0,0,0,0,0,0,0,0,,EAST 38 STREET                  ,3507315,Sedan,Sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-07-25T16:30:00,,,,0,0,0,0,0,0,0,0,,BELT PARKWAY                    ,3488306,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Passing or Lane Usage Improper,Unspecified,,,,,2016-07-15T08:09:00,,,,0,0,1,0,0,0,1,0,,BELT PARKWAY                    ,3491128,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2016-06-29T10:36:00,,,,0,0,0,0,0,0,0,0,,MAJOR DEEGAN EXPRESSWAY         ,3472060,4 dr sedan,4 dr sedan,,,,
,Unspecified,Unspecified,,,,174 STREET,2016-06-22T00:00:00,,,,0,0,0,0,0,0,0,0,,HARDING EXPRESSWAY              ,3466982,2 dr sedan,4 dr sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-06-23T07:00:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN BATTERY TUNNEL         ,3467952,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2016-05-13T21:27:00,,,,0,0,0,0,0,0,0,0,,,3442756,4 dr sedan,4 dr sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,FOREST PARK DRIVE EAST,2016-05-03T15:30:00,,,,0,0,2,0,0,0,2,0,,METROPOLITAN AVENUE             ,3435237,4 dr sedan,Taxi,,,,
,Passing or Lane Usage Improper,Unspecified,,,,VARICK AVENUE,2016-04-28T06:45:00,,,,0,0,0,0,0,0,0,0,,METROPOLITAN AVENUE             ,3432664,4 dr sedan,,,,,
,Turning Improperly,Unspecified,Unspecified,,,BOSTON ROAD,2016-04-11T17:16:00,,,,0,0,0,0,0,0,0,0,,BOLLER AVENUE                   ,3413375,,,,,,
,Unspecified,Unspecified,,,,,2016-04-02T16:30:00,,,,0,0,0,0,0,0,0,0,,major deegan expressway         ,3414273,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2016-04-04T19:47:00,,,,0,0,0,0,0,0,0,0,,WSE                             ,3430137,4 dr sedan,4 dr sedan,,,,
,Turning Improperly,Unspecified,,,,,2016-03-03T07:45:00,,,,0,0,0,0,0,0,0,0,,,3399625,PASSENGER VEHICLE,UNKNOWN,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2016-02-23T16:00:00,,,,0,0,0,0,0,0,0,0,,,3394457,BUS,SPORT UTILITY / STATION WAGON,,,,
,Lost Consciousness,Unspecified,,,,,2016-02-12T21:00:00,,,,0,0,0,0,0,0,0,0,,,3388324,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,MACDOUGAL STREET                ,2016-02-19T16:15:00,,,,0,0,0,0,0,0,0,0,,FULTON STREET                   ,3392409,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,,,,,,2016-02-29T10:00:00,,,,0,0,0,0,1,0,1,0,72 STREET AND EAST DRIVE                ,,3397142,TAXI,,,,,
,Unspecified,Unspecified,,,,,2016-02-25T23:00:00,,,,0,0,0,0,0,0,0,0,61-35 JUNCTION BOULEVARD PARK. GARAGE   ,,3395724,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Tire Failure/Inadequate,Tire Failure/Inadequate,Tire Failure/Inadequate,,,,2016-02-19T21:25:00,,,,0,0,0,0,0,0,0,0,,,3391261,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Failure to Yield Right-of-Way,,,,,109 STREET                      ,2016-03-04T08:30:00,,,,0,0,0,0,1,0,1,0,,JAMAICA AVENUE                  ,3399571,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,QUEENS BOULEVARD                ,2016-02-12T13:05:00,,,,0,0,1,0,0,0,1,0,,73 STREET                       ,3389763,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,,,,,EAST 137 STREET                 ,2016-02-04T22:05:00,,,,0,0,0,0,1,0,1,0,,3 AVENUE                        ,3383402,UNKNOWN,,,,,
,Unspecified,Unspecified,,,,SAINT LAWRENCE AVENUE           ,2016-02-12T18:40:00,,,,0,0,0,0,0,0,0,0,,CROSS BRONX EXPRESSWAY EN EB    ,3388877,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,MORNINGSTAR ROAD                ,2016-01-27T16:30:00,,,,0,0,0,0,0,0,0,0,,DIXON AVENUE                    ,3379376,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SHARROTTS ROAD                  ,2016-01-01T16:44:00,,,,0,0,0,0,0,0,0,0,,ARTHUR KILL ROAD                ,3364012,BUS,UNKNOWN,,,,
,Unspecified,Unspecified,,,,AMSTERDAM AVENUE                ,2016-01-20T16:40:00,,,,0,0,0,0,0,0,0,0,,WEST 166 STREET                 ,3374640,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Traffic Control Disregarded,,,,,CONCOURSE VILLAGE WEST,2016-01-06T08:30:00,,,,0,0,0,0,1,0,1,0,,EAST 156 STREET                 ,4022144,,,,,,
,Fatigued/Drowsy,Unspecified,,,,,2016-01-07T16:30:00,,,,0,0,0,0,0,0,0,0,,,3366901,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Traffic Control Disregarded,,,,,HORACE HARDING EXPRESSWAY       ,2015-12-30T04:20:00,,,,0,0,0,0,0,0,0,0,,PECK AVENUE                     ,3362668,PASSENGER VEHICLE,,,,,
,Physical Disability,,,,,SOUTH CONDUIT BOULEVARD         ,2015-12-21T18:22:00,,,,0,0,0,0,1,0,1,0,,BELMONT AVENUE                  ,3358875,UNKNOWN,,,,,
,Unspecified,Unspecified,,,,ERSKINE STREET                  ,2015-12-19T13:35:00,,,,0,0,0,0,0,0,0,0,,VANDALIA AVENUE                 ,3356867,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,MENAHAN STREET                  ,2015-12-10T17:30:00,,,,0,0,0,0,0,0,0,0,,FRESH POND ROAD                 ,3367778,PASSENGER VEHICLE,BUS,,,,
,Driver Inexperience,Unspecified,,,,,2015-11-27T14:45:00,,,,0,0,0,0,0,0,0,0,PARKING LOT OF 135-05 20 AVE            ,,3343098,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Backing Unsafely,Backing Unsafely,,,,FDR DRIVE                       ,2015-12-07T18:34:00,,,,0,0,0,0,0,0,0,0,,EAST 23 STREET                  ,3348157,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Glare,,,,,RUTLAND ROAD                    ,2015-11-19T17:29:00,,,,0,0,0,0,1,0,1,0,,REMSEN AVENUE                   ,3338182,VAN,,,,,
,Unspecified,Unspecified,,,,DAWSON STREET                   ,2015-11-16T06:30:00,,,,0,0,0,0,0,0,0,0,,WOOLLEY AVENUE                  ,3335767,PASSENGER VEHICLE,UNKNOWN,,,,
,Lost Consciousness,Lost Consciousness,,,,VAN WYCK EXPRESSWAY             ,2015-11-05T07:50:00,,,,0,0,0,0,0,0,0,0,,HILLSIDE AVENUE                 ,3329056,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,GRAND ARMY PLAZA                ,2015-11-15T14:40:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3335530,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,,,,,MAIN STREET                     ,2015-11-01T11:02:00,,,,0,0,0,0,0,0,0,0,,41 AVENUE                       ,3329079,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,LAURELTON PARKWAY               ,2015-11-04T20:10:00,,,,0,0,0,0,0,0,0,0,,130 AVENUE                      ,3329026,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,GRAND ARMY PLAZA                ,2015-10-28T23:05:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3324880,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Other Vehicular,,,,BEACH CHANNEL DRIVE             ,2015-10-25T18:30:00,,,,0,0,0,0,0,0,0,0,,BEACH 35 STREET                 ,3322552,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,FARMERS BOULEVARD               ,2015-10-14T01:40:00,,,,0,0,0,0,0,0,0,0,,140 AVENUE                      ,3315415,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,,2015-10-06T08:25:00,,,,0,0,0,0,0,0,0,0,,,3309807,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Turning Improperly,Other Vehicular,,,,59 AVENUE                       ,2015-10-27T19:30:00,,,,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,3325777,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,Unspecified,,,,ASTORIA BOULEVARD SOUTH         ,2015-10-24T00:30:00,,,,0,0,0,0,0,0,0,0,,33 STREET                       ,3321893,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Prescription Medication,Unspecified,,,,36 STREET                       ,2015-10-20T08:50:00,,,,0,0,0,0,0,0,0,0,,ASTORIA BOULEVARD               ,3319988,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,UNIONTURNPIKE                   ,2015-10-01T12:45:00,,,,0,0,0,0,0,0,0,0,,PARK LANE                       ,3306949,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,BORDEN AVENUE                   ,2015-09-17T16:50:00,,,,0,0,0,0,0,0,0,0,,VERNON BOULEVARD                ,3299199,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,,2015-09-18T12:25:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 75-28 QB                    ,,3301187,PASSENGER VEHICLE,UNKNOWN,,,,
,Driver Inexperience,Unspecified,,,,,2015-09-17T09:30:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 32-11 HARPER ST             ,,3298610,PASSENGER VEHICLE,UNKNOWN,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,VAN WYCK EXPRESSWAY             ,2015-09-18T18:00:00,,,,0,0,0,0,0,0,0,0,,JAMAICA AVENUE                  ,3299679,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,,
,Driver Inattention/Distraction,Unspecified,,,,PARK AVENUE                     ,2015-09-28T10:15:00,,,,1,0,0,0,0,0,1,0,,CARLTON AVENUE                  ,3305020,TAXI,BICYCLE,,,,
,Unspecified,Unspecified,,,,OCEAN PARKWAY                   ,2015-09-07T16:51:00,,,,0,0,0,0,0,0,0,0,,CHURCH AVENUE                   ,3291699,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,CANAL STREET                    ,2015-09-12T02:00:00,,,,0,0,0,0,0,0,0,0,,BOWERY                          ,3295507,TAXI,UNKNOWN,,,,
,Unspecified,Unspecified,Unspecified,,,65 STREET                       ,2015-08-12T12:40:00,,,,0,0,0,0,0,0,0,0,,6 AVENUE                        ,3276144,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
,Driver Inattention/Distraction,,,,,HALSEY STREET                   ,2015-08-12T21:30:00,,,,0,0,0,0,1,0,1,0,,BROADWAY                        ,3276777,PASSENGER VEHICLE,,,,,
,Driver Inattention/Distraction,Unspecified,,,,49 STREET                       ,2015-08-19T18:40:00,,,,0,0,0,0,0,0,0,0,,ASTORIA BOULEVARD SOUTH         ,3281415,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Other Vehicular,View Obstructed/Limited,,,,SOUTHERN BOULEVARD              ,2015-08-12T08:33:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,3276608,OTHER,PICK-UP TRUCK,,,,
,Driver Inattention/Distraction,Lost Consciousness,,,,RICHMOND AVENUE                 ,2015-07-22T09:54:00,,,,0,0,0,0,0,0,0,0,,LAMBERTS LANE                   ,3263455,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2015-07-27T08:20:00,,,,0,0,0,0,0,0,0,0,,,3266716,PASSENGER VEHICLE,PICK-UP TRUCK,,,,
,Outside Car Distraction,Fatigued/Drowsy,Fatigued/Drowsy,,,,2015-08-07T21:28:00,,,,0,0,0,0,0,0,0,0,,,3274095,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
,Turning Improperly,Unspecified,,,,3 AVENUE                        ,2015-07-20T14:35:00,,,,0,0,0,0,0,0,0,0,,PROSPECT AVENUE                 ,3262479,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,,
,Outside Car Distraction,Outside Car Distraction,,,,BEACH 116 STREET                ,2015-06-30T14:25:00,,,,0,0,0,0,0,0,0,0,,BEACH CHANNEL DRIVE             ,3249884,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Obstruction/Debris,,,,,,2015-07-05T22:49:00,,,,0,0,0,0,0,0,0,0,11 METRO TECH CENTER BROOKLYN NY        ,,3253023,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,FRANKLIN AVENUE                 ,2015-06-19T11:00:00,,,,0,0,0,0,0,0,0,0,,LAFAYETTE AVENUE                ,3243654,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,GRAND CENTRAL PARKWAY           ,2015-07-09T16:50:00,,,,0,0,0,0,0,0,0,0,,164 STREET                      ,3255713,PASSENGER VEHICLE,PICK-UP TRUCK,UNKNOWN,,,
,Unspecified,Unspecified,,,,HOLLIS AVENUE                   ,2015-06-22T22:25:00,,,,0,0,0,0,0,0,0,0,,217 STREET                      ,3245329,PASSENGER VEHICLE,UNKNOWN,,,,
,Turning Improperly,Failure to Yield Right-of-Way,Other Vehicular,,,SPRING STREET                   ,2015-05-31T21:45:00,,,,0,0,0,0,0,0,0,0,,AVENUE OF THE AMERICAS          ,3230698,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,OTHER,,,
,Failure to Yield Right-of-Way,Unspecified,,,,108 STREET                      ,2015-06-01T15:00:00,,,,0,0,0,0,0,0,0,0,,HOR HARDING EXPRESSWAY NORTH SR ,3232684,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SCHENCK AVENUE                  ,2015-05-23T18:00:00,,,,0,0,0,0,0,0,0,0,,GATEWAY DRIVE                   ,3227140,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,EAST KINGSBRIDGE ROAD           ,2015-06-11T09:02:00,,,,0,0,0,0,0,0,0,0,,EAST FORDHAM ROAD               ,3238668,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SOUNDVIEW AVENUE                ,2015-06-09T08:50:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,3236579,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2015-05-22T04:00:00,,,,0,0,0,0,0,0,0,0,,,3225455,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,Unspecified,,,,45 STREET                       ,2015-05-01T18:00:00,,,,0,0,0,0,0,0,0,0,,ASTORIA BOULEVARD NORTH         ,3213305,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,MORANI STREET                   ,2015-05-20T17:30:00,,,,1,0,0,0,0,0,1,0,,VICTORY BOULEVARD               ,3226906,SPORT UTILITY / STATION WAGON,BICYCLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-05-17T00:01:00,,,,0,0,0,0,0,0,0,0,,,3223035,OTHER,PASSENGER VEHICLE,,,,
,Passenger Distraction,,,,,BOWERY                          ,2015-05-04T12:30:00,,,,0,0,0,0,1,0,1,0,,CANAL STREET                    ,3213982,PASSENGER VEHICLE,,,,,
,Fatigued/Drowsy,Unspecified,,,,RICHMOND HILL ROAD              ,2015-05-07T13:08:00,,,,0,0,0,0,0,0,0,0,,RICHMOND AVENUE                 ,3216461,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,VAN WYCK EXPRESSWAY             ,2015-04-30T11:50:00,,,,0,0,0,0,0,0,0,0,,ATLANTIC AVENUE                 ,3212074,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,AVENUE K                        ,2015-04-22T17:30:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3207098,OTHER,PASSENGER VEHICLE,,,,
,Unspecified,,,,,CROSS BRONX EXPRESSWAY SVC RD S ,2015-04-23T21:30:00,,,,0,0,0,0,0,0,0,0,,OLMSTEAD AVENUE                 ,3208763,PASSENGER VEHICLE,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2015-04-01T16:30:00,,,,0,0,0,0,0,0,0,0,,,3195692,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,,,,,99 STREET                       ,2015-04-18T18:45:00,,,,0,0,0,0,1,0,1,0,,CORONA AVENUE                   ,3205503,PASSENGER VEHICLE,,,,,
,Unspecified,,,,,HOOPER STREET                   ,2015-03-23T15:15:00,,,,0,0,0,0,0,0,0,0,,BROADWAY                        ,3192126,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,,
,Driver Inattention/Distraction,Other Vehicular,,,,FULTON STREET                   ,2015-04-01T21:30:00,,,,1,0,0,0,0,0,1,0,,WATER STREET                    ,3195520,TAXI,BICYCLE,,,,
,Unspecified,Unspecified,,,,EAST 34 STREET                  ,2015-04-03T16:00:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE EAST SERVICE ROAD     ,3197327,PICK-UP TRUCK,UNKNOWN,,,,
,Other Vehicular,Unspecified,,,,CONCOURSE VILLAGE EAST          ,2015-04-19T14:30:00,,,,0,0,0,0,0,0,0,0,,EAST 156 STREET                 ,3206341,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-04-20T17:00:00,,,,0,0,0,0,0,0,0,0,,,3205735,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,NICHOLAS AVENUE                 ,2015-03-18T18:07:00,,,,0,0,0,0,0,0,0,0,,HOOKER PLACE                    ,3189042,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,,,,,,2015-03-18T15:40:00,,,,0,0,0,0,0,0,0,0,PL OF SOUTH AVE AND FOREST AVE         ,,3191730,SPORT UTILITY / STATION WAGON,,,,,
,Lost Consciousness,Unspecified,,,,,2015-02-25T19:30:00,,,,0,0,0,0,0,0,0,0,,,3175514,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Backing Unsafely,Backing Unsafely,,,,,2015-02-26T12:25:00,,,,0,0,0,0,0,0,0,0,2548 WEST 13 STREET                     ,,3176530,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Pavement Slippery,,,,,,2015-02-19T11:45:00,,,,0,0,1,0,0,0,1,0,,,3171978,PASSENGER VEHICLE,,,,,
,Fatigued/Drowsy,Fatigued/Drowsy,,,,CLEARVIEW EXPRESSWAY            ,2015-03-10T08:15:00,,,,0,0,0,0,0,0,0,0,,NORTHERN BOULEVARD              ,3187272,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES) ,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-03-15T04:45:00,,,,0,0,0,0,0,0,0,0,,,3186880,TAXI,PICK-UP TRUCK,,,,
,Unspecified,,,,,TILLOTSON AVENUE                ,2015-03-05T12:00:00,,,,0,0,0,0,0,0,0,0,,CONNER STREET                   ,3186995,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,Unspecified,,,,2015-03-06T06:45:00,,,,0,0,0,0,0,0,0,0,,,3182026,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,CHESTERTON AVENUE               ,2015-02-27T09:05:00,,,,0,0,0,0,0,0,0,0,,HYLAN BOULEVARD                 ,3176887,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,WILLIS AVENUE                   ,2015-02-06T20:00:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,3165443,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-02-15T20:30:00,,,,0,0,0,0,0,0,0,0,PARKING LOT OF 210 ARDEN AVENUE         ,,3172845,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Other Vehicular,,,,,,2015-01-28T22:00:00,,,,0,0,0,0,0,0,0,0,PARKING GARAGE 150-55 14 AVE            ,,3160640,SPORT UTILITY / STATION WAGON,,,,,
,Traffic Control Disregarded,Unspecified,Unspecified,,,,2015-02-09T23:50:00,,,,0,0,4,0,0,0,4,0,,,3166972,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
,Pavement Slippery,Unspecified,,,,WEST SHORE EXPRESSWAY           ,2015-01-26T13:50:00,,,,0,0,0,0,0,0,0,0,,VICTORY BOULEVARD               ,3159409,LARGE COM VEH(6 OR MORE TIRES),VAN,,,,
,Unspecified,Unspecified,,,,,2015-02-18T19:00:00,,,,0,0,0,0,0,0,0,0,CAR WASH 107-05 MERRICK BLVD            ,,3172185,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,Unspecified,,,,2015-01-02T11:08:00,,,,0,0,3,0,0,0,3,0,,,3146494,OTHER,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
,Lost Consciousness,Unspecified,,,,,2014-12-26T19:20:00,,,,0,0,0,0,0,0,0,0,E 70 ST & E DR                          ,,3143563,TAXI,BICYCLE,,,,
,Backing Unsafely,Unspecified,,,,2 AVENUE                        ,2015-01-07T11:35:00,,,,0,0,0,0,0,0,0,0,,6 STREET                        ,3149562,PASSENGER VEHICLE,VAN,,,,
,Pavement Slippery,Unspecified,,,,108 STREET                      ,2015-01-09T10:00:00,,,,0,0,0,0,0,0,0,0,,JAMAICA AVENUE                  ,3150203,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,HUDSON STREET                   ,2014-12-31T14:00:00,,,,0,0,0,0,0,0,0,0,,CANAL STREET                    ,3145286,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Pavement Slippery,,,,,,2015-01-04T10:35:00,,,,0,0,0,0,0,0,0,0,,,3147466,SPORT UTILITY / STATION WAGON,,,,,
,Driver Inattention/Distraction,Unspecified,,,,INDEPENDENCE AVENUE             ,2014-12-24T12:25:00,,,,0,0,0,0,0,0,0,0,,RICHMOND AVENUE                 ,3142793,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2014-11-28T06:00:00,,,,0,0,0,0,0,0,0,0,PARKING LOT - 153-67 HORACE HARDING EXPY,,3127609,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,,,,,FARRAGUT ROAD                   ,2014-11-28T23:00:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3128801,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,WHITE PLAINS ROAD               ,2014-12-16T13:15:00,,,,0,0,0,0,0,0,0,0,,BRONXDALE AVENUE                ,3137800,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,205 STREET                      ,2014-10-31T14:00:00,,,,0,0,0,0,0,0,0,0,,LINDEN BOULEVARD                ,2817022,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Pavement Slippery,Pavement Slippery,,,,HYLAN BOULEVARD                 ,2014-11-01T16:05:00,,,,0,0,0,0,0,0,0,0,,NARROWS ROAD SOUTH              ,2817642,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2014-11-07T11:25:00,,,,0,0,2,0,0,0,2,0,,,3123650,PASSENGER VEHICLE,VAN,,,,
,Unspecified,,,,,SOUTH AVENUE                    ,2014-10-30T04:30:00,,,,0,0,0,0,0,0,0,0,,FAHY AVENUE                     ,2816529,PASSENGER VEHICLE,,,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,KEW GARDENS ROAD                ,2014-10-23T17:31:00,,,,0,0,0,0,0,0,0,0,,HILLSIDE AVENUE                 ,2813239,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,,,,,HOWARD AVENUE                   ,2014-10-24T20:15:00,,,,0,0,0,0,1,0,1,0,,PITKIN AVENUE                   ,2813173,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,LIBERTY AVENUE                  ,2014-09-14T10:40:00,,,,0,0,0,0,0,0,0,0,,ROCKAWAY BOULEVARD              ,1024001,PASSENGER VEHICLE,UNKNOWN,,,,
